,vi,uH,vni,vniH,vps,vpsH,viscii,visciiH,tcvn3,tcvn3H,viqr,name,koDau,spec,tone,koDauT
52,ầ,U+1EA7,aà,61 E0,À,C0,¥,A5,Ç,C7,a^`,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE,a,CIRCUMFLEX,GRAVE,â
53,Ẩ,U+1EA8,AÅ,41 C5,…,85,†,86,¢È,A2 C8,A^?,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE,A,CIRCUMFLEX,HOOK ABOVE,Â
54,ẩ,U+1EA9,aå,61 E5,Ä,C4,¦,A6,È,C8,a^?,LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE,a,CIRCUMFLEX,HOOK ABOVE,â
55,Ẫ,U+1EAA,AÃ,41 C3,,1C,,06,¢É,A2 C9,A^~,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE,A,CIRCUMFLEX,TILDE,Â
56,ẫ,U+1EAB,aã,61 E3,Å,C5,ç,E7,É,C9,a^~,LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE,a,CIRCUMFLEX,TILDE,â
57,Ậ,U+1EAC,AÄ,41 C4,,03,‡,87,¢Ë,A2 CB,A^.,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW,A,CIRCUMFLEX,DOT BELOW,Â
58,ậ,U+1EAD,aä,61 E4,Æ,C6,§,A7,Ë,CB,a^.,LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW,a,CIRCUMFLEX,DOT BELOW,â
59,Ắ,U+1EAE,AÉ,41 C9,,8D,,81,¡¾,A1 BE,A(',LATIN CAPITAL LETTER A WITH BREVE AND ACUTE,A,BREVE,ACUTE,Ă
60,ắ,U+1EAF,aé,61 E9,¡,A1,¡,A1,¾,BE,a(',LATIN SMALL LETTER A WITH BREVE AND ACUTE,a,BREVE,ACUTE,ă
61,Ằ,U+1EB0,AÈ,41 C8,Ž,8E,‚,82,¡»,A1 BB,A(`,LATIN CAPITAL LETTER A WITH BREVE AND GRAVE,A,BREVE,GRAVE,Ă
62,ằ,U+1EB1,aè,61 E8,¢,A2,¢,A2,»,BB,a(`,LATIN SMALL LETTER A WITH BREVE AND GRAVE,a,BREVE,GRAVE,ă
63,Ẳ,U+1EB2,AÚ,41 DA,,8F,[1],02,¡¼,A1 BC,A(?,LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE,A,BREVE,HOOK ABOVE,Ă
64,ẳ,U+1EB3,aú,61 FA,£,A3,Æ,C6,¼,BC,a(?,LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE,a,BREVE,HOOK ABOVE,ă
65,Ẵ,U+1EB4,AÜ,41 DC,ð,F0,,05,¡½,A1 BD,A(~,LATIN CAPITAL LETTER A WITH BREVE AND TILDE,A,BREVE,TILDE,Ă
66,ẵ,U+1EB5,aü,61 FC,¤,A4,Ç,C7,½,BD,a(~,LATIN SMALL LETTER A WITH BREVE AND TILDE,a,BREVE,TILDE,ă
67,Ặ,U+1EB6,AË,41 CB,,04,ƒ,83,¡Æ,A1 C6,A(.,LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW,A,BREVE,DOT BELOW,Ă
68,ặ,U+1EB7,aë,61 EB,¥,A5,£,A3,Æ,C6,a(.,LATIN SMALL LETTER A WITH BREVE AND DOT BELOW,a,BREVE,DOT BELOW,ă
69,Ẹ,U+1EB8,EÏ,45 CF,,05,‰,89,EÑ,45 D1,E.,LATIN CAPITAL LETTER E WITH DOT BELOW,E,,DOT BELOW,E
70,ẹ,U+1EB9,eï,65 EF,Ë,CB,©,A9,Ñ,D1,e.,LATIN SMALL LETTER E WITH DOT BELOW,e,,DOT BELOW,e
71,Ẻ,U+1EBA,EÛ,45 DB,Þ,DE,Ë,CB,EÎ,45 CE,E?,LATIN CAPITAL LETTER E WITH HOOK ABOVE,E,,HOOK ABOVE,E
